|tweet_id|tweet_text|compound|negative|neutral|positive
0|16617221|RT @OutsideComicCon: Happy to be bridging @SiliconHBO &amp; #SVCC with this #PrizeMoose drop! Get this Pied Piper shirt now in the conventio\u2026 |0.4389|0.08|0.767|0.153
1|3164788032|"""Erlich: We're trending up "|0.0|0.0|1.0|0.0
2|13588362|Nueva serie favorita.\n\n#siliconValley #hbo #series https://t.co/ffub8CfDKv |0.0|0.0|1.0|0.0
3|945854930|Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.633|0.367
4|472275571|RT @lyricstothego: Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.674|0.326
5|973635391|"""\U0001f44b Hey @G2Crowd "|0.0|0.0|1.0|0.0
6|257509781|"""If you're looking for work in MO "|0.0|0.0|1.0|0.0
7|138039964|Just started watching @SiliconHBO why didn't anyone tell me about this show earlier\U0001f481\u200d\u2642\ufe0f I'm in love with this! #SiliconValley |0.6696|0.0|0.8|0.2
8|497067921|"""Wearing my #Hooli shirt this today in my own tiny """"celebration"""" that S4 of @SiliconHBO premieres tomorrow night! #SiliconValley #HBO"" "|0.0|0.0|1.0|0.0
9|3164788032|I'm not a woman engineer. I'm an engineer. #SiliconValley https://t.co/Rwt7euHUUq |0.0|0.0|1.0|0.0
10|3164788032|"""Jared: I simply imagine that my skeleton is me "|0.0|0.0|1.0|0.0
11|3164788032|"""Have any of you ever eaten at """"Burger King""""? #S01E03 #SiliconValley https://t.co/Zud1B8yzQe"" "|0.0|0.0|1.0|0.0
12|17581126|Hooli shit #SiliconValley |-0.5574|0.643|0.357|0.0
13|368865847|Can't wait!!!!!\U0001f917#siliconvalley https://t.co/Cpi8dlDjJu |0.0|0.0|1.0|0.0
14|32403983|Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 https://t.co/lun9Y2Y3il |-0.4588|0.136|0.864|0.0
15|35203319|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
16|60980215|"""RT @EW: 12 hints about season 4 of #SiliconValley involving needles "|0.0|0.0|1.0|0.0
17|2463402292|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
18|16617221|RT @OutsideComicCon: Happy to be bridging @SiliconHBO &amp; #SVCC with this #PrizeMoose drop! Get this Pied Piper shirt now in the conventio\u2026 |0.4389|0.08|0.767|0.153
19|3164788032|"""Erlich: We're trending up "|0.0|0.0|1.0|0.0
20|13588362|Nueva serie favorita.\n\n#siliconValley #hbo #series https://t.co/ffub8CfDKv |0.0|0.0|1.0|0.0
21|945854930|Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.633|0.367
22|472275571|RT @lyricstothego: Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.674|0.326
23|973635391|"""\U0001f44b Hey @G2Crowd "|0.0|0.0|1.0|0.0
24|257509781|"""If you're looking for work in MO "|0.0|0.0|1.0|0.0
25|138039964|Just started watching @SiliconHBO why didn't anyone tell me about this show earlier\U0001f481\u200d\u2642\ufe0f I'm in love with this! #SiliconValley |0.6696|0.0|0.8|0.2
26|497067921|"""Wearing my #Hooli shirt this today in my own tiny """"celebration"""" that S4 of @SiliconHBO premieres tomorrow night! #SiliconValley #HBO"" "|0.0|0.0|1.0|0.0
27|3164788032|I'm not a woman engineer. I'm an engineer. #SiliconValley https://t.co/Rwt7euHUUq |0.0|0.0|1.0|0.0
28|3164788032|"""Jared: I simply imagine that my skeleton is me "|0.0|0.0|1.0|0.0
29|3164788032|"""Have any of you ever eaten at """"Burger King""""? #S01E03 #SiliconValley https://t.co/Zud1B8yzQe"" "|0.0|0.0|1.0|0.0
30|17581126|Hooli shit #SiliconValley |-0.5574|0.643|0.357|0.0
31|368865847|Can't wait!!!!!\U0001f917#siliconvalley https://t.co/Cpi8dlDjJu |0.0|0.0|1.0|0.0
32|32403983|Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 https://t.co/lun9Y2Y3il |-0.4588|0.136|0.864|0.0
33|35203319|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
34|60980215|"""RT @EW: 12 hints about season 4 of #SiliconValley involving needles "|0.0|0.0|1.0|0.0
35|2463402292|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
36|24312698|Yes! Season premier of @SiliconHBO tomorrow night! New Interwebs time. #siliconvalley #SiliconValleyHBO |0.508|0.0|0.77|0.23
37|829681587243462656|@imslp Plenty of them around my neck of the woods. I'll ask around. @siliconvalley. |0.0|0.0|1.0|0.0
38|3381492807|"""Silicon Valley Etiquette - California is for sure the """"Land of The Cool"""" https://t.co/zNSF2TS9CO #SiliconValley"" "|0.3182|0.0|0.85|0.15
39|311664727|Just hanging out with my #SiliconValley peeps today. https://t.co/SX8tcR8r2V |0.0|0.0|1.0|0.0
40|97397181|RT @tinaudacity: Rephrase! Being a #unicorn is getting too complicated. Time to be a person :) #happyfriday #SiliconValley #unicorny https:\u2026 |0.5093|0.0|0.838|0.162
41|82350646|HBO\u2019s \u201cSilicon Valley\u201d cast hints about upcoming season #SiliconValley https://t.co/KF6GAvR1Aq |0.0|0.0|1.0|0.0
42|787083313433501697|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
43|17780767|"""RT @SiliconVallism: Erlich: We're trending up "|0.0|0.0|1.0|0.0
44|1629791772|today iz the day when they're returning to make a scene\uff01\n\U0001f525\U0001f525\U0001f525\U0001f525\U0001f525\U0001f525\U0001f525\U0001f525\U0001f525\n\U0001f47e\U0001f47e\U0001f47e\U0001f47e\U0001f47e\U0001f47e\U0001f47e\U0001f47e\U0001f47e\n\n#siliconvalley\u2026 https://t.co/KBAWAo85HT |0.0|0.0|1.0|0.0
45|72079436|#CineTV \u2018#SiliconValley': Thomas Middledtich on Season 4 and Why You Won\u2019t See a Blooper Reel\u2026 https://t.co/HpSjtl0Wn0 |0.0|0.0|1.0|0.0
46|829483561|@SiliconHBO Season 4 Ep 1 coming tonight! So excited!! Whooo @HBO \n#SiliconValley #SiliconValleyHBO #HBO #TVShows @AmandaCCrew @nottjmiller |0.5528|0.0|0.797|0.203
47|2279758561|"""The @CalCourts motto: """"any litigant who reports abuse is 'crazy' &amp; 'delusional' -feels like the 1950s here in\u2026 https://t.co/ESGIOX0qEo"" "|-0.4019|0.177|0.717|0.105
48|786059588571455488|One sick twisted mofo. https://t.co/EEU5EQEOpl |-0.7717|0.691|0.309|0.0
49|3084863170|"""Isn't it weird "|0.1326|0.0|0.569|0.431
50|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x04 """"Fiduciary Duties"""" https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
51|148683294|"""Silicon Valley 1x04 """"Fiduciary Duties"""" \u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2606\u2606 https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
52|3164788032|Gilfoyle: Says here that she's looking for a man on the go. You don't go anywhere. #SiliconValley #SiliconHBO #SiliconValleyHBO |0.0|0.0|1.0|0.0
53|15597707|Play By Day: Start der 4. Staffel Silicon Valley bei HBO #SiliconValley https://t.co/JSyoWMg28z https://t.co/FgjFQzCjLG |0.34|0.0|0.844|0.156
54|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x05 """"Signaling Risk"""" https://t.co/3OAYObnnUZ #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
55|127806182|#SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
56|851028728|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
57|813968075792011265|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
58|852712180818612224|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
59|856017325723725824|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
60|260104802|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
61|855447351103815687|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
62|829183223582359552|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
63|848131744763179008|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
64|809644019433107456|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
65|852222882449174528|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
66|851859868319449088|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
67|1906163570|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
68|805791290|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
69|148683294|"""Silicon Valley 1x05 """"Signaling Risk"""" \u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2606\u2606 https://t.co/3OAYObnnUZ #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
70|849560216597352453|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
71|849556074965467136|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
72|849690549753982978|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
73|849947930077405184|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
74|849688472998875140|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
75|849949297240158208|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
76|849950880061431809|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
77|849946851633758209|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
78|849556606585012224|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
79|855575992915701761|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
80|20284575|"""#ThomasMiddledtich on #SiliconValley S4 "|0.0|0.0|1.0|0.0
81|767309184438329344|HBO\u2019s \u201cSilicon Valley\u201d cast hints about upcoming\xa0season https://t.co/H7Rbhb1OFb @techcrunch #tech #startups #SiliconValley #TV #incubator |0.0|0.0|1.0|0.0
82|1130138412|RT @VHyyrylainen: HBO\u2019s \u201cSilicon Valley\u201d cast hints about upcoming\xa0season https://t.co/H7Rbhb1OFb @techcrunch #tech #startups #SiliconValle\u2026 |0.0|0.0|1.0|0.0
83|781356614615826432|RT @RottenTomatoes: #SiliconValley to return April 23. For more spring premiere dates: https://t.co/glYcLU67dE https://t.co/Afv6gHQhlc |0.0|0.0|1.0|0.0
84|829483561|@SiliconHBO Season 4 Ep 1 coming tonight! So excited!! Whooo @HBO \n#SiliconValley #SiliconValleyHBO #HBO #TVShows @AmandaCCrew @nottjmiller |0.5528|0.0|0.797|0.203
85|2279758561|"""The @CalCourts motto: """"any litigant who reports abuse is 'crazy' &amp; 'delusional' -feels like the 1950s here in\u2026 https://t.co/ESGIOX0qEo"" "|-0.4019|0.177|0.717|0.105
86|786059588571455488|One sick twisted mofo. https://t.co/EEU5EQEOpl |-0.7717|0.691|0.309|0.0
87|3084863170|"""Isn't it weird "|0.1326|0.0|0.569|0.431
88|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x04 """"Fiduciary Duties"""" https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
89|148683294|"""Silicon Valley 1x04 """"Fiduciary Duties"""" \u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2606\u2606 https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
90|3164788032|Gilfoyle: Says here that she's looking for a man on the go. You don't go anywhere. #SiliconValley #SiliconHBO #SiliconValleyHBO |0.0|0.0|1.0|0.0
91|15597707|Play By Day: Start der 4. Staffel Silicon Valley bei HBO #SiliconValley https://t.co/JSyoWMg28z https://t.co/FgjFQzCjLG |0.34|0.0|0.844|0.156
92|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x05 """"Signaling Risk"""" https://t.co/3OAYObnnUZ #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
93|127806182|#SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
94|851028728|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
95|813968075792011265|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
96|852712180818612224|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
97|856017325723725824|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
98|260104802|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
99|855447351103815687|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
100|829183223582359552|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
101|848131744763179008|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
102|809644019433107456|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
103|852222882449174528|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
104|851859868319449088|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
105|1906163570|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
106|805791290|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
107|148683294|"""Silicon Valley 1x05 """"Signaling Risk"""" \u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2606\u2606 https://t.co/3OAYObnnUZ #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
108|849560216597352453|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
109|849556074965467136|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
110|849690549753982978|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
111|849947930077405184|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
112|849688472998875140|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
113|849949297240158208|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
114|849950880061431809|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
115|849946851633758209|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
116|849556606585012224|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
117|855575992915701761|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
118|20284575|"""#ThomasMiddledtich on #SiliconValley S4 "|0.0|0.0|1.0|0.0
119|767309184438329344|HBO\u2019s \u201cSilicon Valley\u201d cast hints about upcoming\xa0season https://t.co/H7Rbhb1OFb @techcrunch #tech #startups #SiliconValley #TV #incubator |0.0|0.0|1.0|0.0
120|1130138412|RT @VHyyrylainen: HBO\u2019s \u201cSilicon Valley\u201d cast hints about upcoming\xa0season https://t.co/H7Rbhb1OFb @techcrunch #tech #startups #SiliconValle\u2026 |0.0|0.0|1.0|0.0
121|781356614615826432|RT @RottenTomatoes: #SiliconValley to return April 23. For more spring premiere dates: https://t.co/glYcLU67dE https://t.co/Afv6gHQhlc |0.0|0.0|1.0|0.0
